epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,16866.5,0.57653,0.73559,1.17481,0.75746,0.77399,0.83066,0.65743,0.72867,0.8668,1.37026,0.00091175,0.00091175,0.00091175
43,17274.3,0.56596,0.72171,1.17641,0.70115,0.76441,0.83501,0.70644,0.66214,0.9893,1.19884,0.0009035,0.0009035,0.0009035
44,17681.6,0.56296,0.72373,1.16384,0.80109,0.7364,0.85898,0.73287,0.57615,0.85556,1.12615,0.00089525,0.00089525,0.00089525
45,18088.6,0.558,0.72258,1.15682,0.82858,0.79007,0.85755,0.74104,0.58766,0.82583,1.11695,0.000887,0.000887,0.000887
46,18494.8,0.55807,0.68099,1.16955,0.77295,0.74177,0.82496,0.69396,0.65314,0.97534,1.18369,0.00087875,0.00087875,0.00087875
47,18901.7,0.57174,0.69689,1.16665,0.77139,0.81282,0.88592,0.75649,0.58103,0.82349,1.12977,0.0008705,0.0008705,0.0008705
48,19307.3,0.56265,0.68132,1.15896,0.84623,0.83062,0.89918,0.77061,0.58456,0.67078,1.13304,0.00086225,0.00086225,0.00086225
49,19713.6,0.55818,0.63915,1.16919,0.82027,0.80813,0.89062,0.76273,0.58213,0.72032,1.12848,0.000854,0.000854,0.000854
50,20119.6,0.53216,0.6599,1.1579,0.7133,0.61182,0.73395,0.61192,0.67836,1.23429,1.24158,0.00084575,0.00084575,0.00084575
51,20525.2,0.52635,0.69101,1.1414,0.75483,0.73978,0.85045,0.7453,0.52428,0.88441,1.09254,0.0008375,0.0008375,0.0008375
52,20930.7,0.53364,0.67123,1.15098,0.74248,0.80021,0.84275,0.7264,0.58156,0.86792,1.15352,0.00082925,0.00082925,0.00082925
53,21338.9,0.53071,0.63997,1.14562,0.83503,0.83868,0.9042,0.79431,0.55494,0.65508,1.07338,0.000821,0.000821,0.000821
54,21747.2,0.54152,0.67136,1.1397,0.86727,0.83592,0.90981,0.79485,0.52483,0.62861,1.08028,0.00081275,0.00081275,0.00081275
55,22155.1,0.53365,0.6101,1.14993,0.70766,0.84987,0.8556,0.74175,0.58909,0.8624,1.12503,0.0008045,0.0008045,0.0008045
56,22563.9,0.52181,0.62039,1.1421,0.81737,0.85809,0.90981,0.80701,0.50537,0.63316,1.06192,0.00079625,0.00079625,0.00079625
57,22971.9,0.51033,0.61876,1.13066,0.79356,0.8252,0.8999,0.78796,0.53397,0.66784,1.09119,0.000788,0.000788,0.000788
58,23379.7,0.52777,0.63625,1.13936,0.84868,0.78657,0.88707,0.76371,0.58674,0.74899,1.13732,0.00077975,0.00077975,0.00077975
59,23786,0.50349,0.59655,1.12083,0.84723,0.86111,0.91415,0.79942,0.51288,0.61035,1.05475,0.0007715,0.0007715,0.0007715
60,24192.3,0.53097,0.60224,1.13708,0.81688,0.81283,0.89377,0.78506,0.52121,0.71884,1.06731,0.00076325,0.00076325,0.00076325
61,24597.7,0.53518,0.6178,1.15257,0.81635,0.83212,0.90595,0.79805,0.53922,0.63916,1.09862,0.000755,0.000755,0.000755
62,25003.1,0.5231,0.60126,1.14411,0.87816,0.86418,0.91191,0.79295,0.54429,0.62611,1.09451,0.00074675,0.00074675,0.00074675
63,25409.8,0.51125,0.59369,1.13943,0.88197,0.88555,0.93045,0.82175,0.5002,0.53614,1.03957,0.0007385,0.0007385,0.0007385
64,25815,0.51411,0.60208,1.12666,0.66185,0.73417,0.79993,0.65683,0.66721,0.96458,1.27369,0.00073025,0.00073025,0.00073025
65,26223,0.51066,0.5843,1.12562,0.81695,0.84908,0.87332,0.78217,0.50895,0.73108,1.0519,0.000722,0.000722,0.000722
66,26632.9,0.50588,0.56767,1.12766,0.84553,0.83223,0.9019,0.79598,0.49513,0.66567,1.08927,0.00071375,0.00071375,0.00071375
67,27042.8,0.50715,0.57824,1.12628,0.78601,0.86074,0.90752,0.79621,0.51843,0.65606,1.09862,0.0007055,0.0007055,0.0007055
68,27451.3,0.50826,0.56791,1.12637,0.78152,0.84902,0.91451,0.80501,0.49136,0.69468,1.0474,0.00069725,0.00069725,0.00069725
